item_proposed	item_desired	date_proposed	date_reviewed	accepted	proposer_rate	counterparty_rate
1449	2394	2022-01-25	2022-02-07	1	5	2
1450	4602	2022-02-08	2022-02-16	0		
1450	4669	2022-02-21				
1451	4137	2022-02-04				
1459	2322	2022-02-02	2022-02-28	1		
1461	4508	2022-01-21	2022-02-03	0		
1464	6404	2022-01-18	2022-01-20	1	1	2
1465	5899	2022-02-11				
1466	2232	2022-02-07				
1467	3947	2022-02-28				
1470	5738	2022-01-17	2022-02-02	1	4	3
1473	920	2022-01-24	2022-02-04	0		
1474	2433	2022-01-18				
1480	1592	2022-01-28				
1483	13	2022-01-27				
1484	3487	2022-01-18	2022-02-18	1	5	1
1485	4208	2022-01-17	2022-02-01	1	2	5
1486	6150	2022-01-26	2022-01-27	0		
1486	7187	2022-02-14	2022-02-18	1	5	
1489	47	2022-01-19	2022-02-04	1	4	3
1492	3121	2022-02-04	2022-02-21	1	5	2
1492	7405	2022-01-21	2022-01-26	0		
1494	50	2022-01-19	2022-02-03	1	1	4
1497	4072	2022-01-21	2022-02-01	1	4	3
1498	827	2022-01-17				
1500	5000	2022-01-27				
1502	4826	2022-02-16				
1503	6308	2022-01-17	2022-02-23	1	1	4
1505	4886	2022-02-23				
1512	4514	2022-01-28				
1519	6452	2022-01-21	2022-02-25	0		
1526	4861	2022-01-19				
1527	210	2022-01-18	2022-02-25	0		
1529	1620	2022-01-28	2022-02-10	0		
1530	6923	2022-01-25	2022-02-03	0		
1532	2392	2022-02-01	2022-02-09	1	5	1
1533	7386	2022-01-17	2022-01-20	1	1	1
1534	3151	2022-02-22	2022-02-25	1	4	2
1536	792	2022-02-23				
1538	3244	2022-01-25				
1539	4450	2022-02-10	2022-02-24	1		2
1544	6736	2022-01-17	2022-02-22	1	4	2
1547	5289	2022-01-28	2022-02-16	1	1	5
1550	1275	2022-01-20	2022-01-21	1	2	5
1552	3522	2022-02-02				
1557	3152	2022-01-24	2022-01-26	1	5	1
1559	6554	2022-01-18	2022-02-01	1	1	4
1566	1754	2022-01-19				
1567	4909	2022-02-02				
1568	1	2022-01-17	2022-02-24	0		
1569	5893	2022-02-16				
1571	3706	2022-01-25				
1573	744	2022-02-15				
1580	1024	2022-01-18	2022-01-24	1	5	4
1581	908	2022-01-19	2022-02-09	1	3	4
1582	1932	2022-01-28	2022-02-07	1	2	2
1585	3165	2022-01-17				
1588	5152	2022-01-19	2022-01-25	0		
1589	4164	2022-01-27	2022-02-11	1	2	3
1595	4329	2022-01-24				
1599	3823	2022-02-11				
1602	2614	2022-01-17	2022-01-31	1	3	1
1603	2271	2022-01-19	2022-02-07	1	5	4
1605	6799	2022-01-24				
1607	417	2022-02-21				
1610	2788	2022-01-20	2022-02-10	1	3	4
1612	1495	2022-01-18	2022-01-31	1	2	4
1614	2163	2022-01-17				
1620	6859	2022-02-22				
1621	3213	2022-01-24	2022-02-09	0		
1623	3449	2022-01-21	2022-02-10	1	4	1
1624	694	2022-01-17	2022-01-28	1	5	4
1625	2717	2022-01-18	2022-01-21	1	5	3
1626	7357	2022-02-14	2022-02-21	1	2	3
1627	374	2022-02-08	2022-02-16	1	3	2
1631	7014	2022-02-18				
1632	6705	2022-01-17				
1633	6053	2022-01-27	2022-02-10	0		
1634	2877	2022-02-09	2022-02-14	1	4	1
1635	735	2022-01-26	2022-01-31	1	1	3
1640	3879	2022-02-01	2022-02-16	1	4	1
1642	4719	2022-01-27	2022-02-21	1	2	1
1643	3097	2022-01-17	2022-01-20	0		
1644	988	2022-02-01				
1645	7239	2022-02-03	2022-02-23	1	2	2
1646	569	2022-01-21	2022-01-26	1	4	2
1648	3442	2022-01-27	2022-01-28	1	4	1
1649	1911	2022-01-28	2022-02-18	0		
1650	1460	2022-01-17	2022-01-31	0		
1650	4469	2022-02-28				
1656	2664	2022-01-18	2022-02-11	0		
1657	1999	2022-01-18	2022-01-31	1	2	2
1659	2067	2022-02-11	2022-02-18	1	3	3
1660	5638	2022-01-17	2022-01-24	1	5	3
1661	1578	2022-01-26	2022-02-08	1	5	5
1667	4689	2022-01-27	2022-02-04	1	4	1
1668	2872	2022-01-18	2022-02-08	0		
1670	2241	2022-01-19				
1671	4992	2022-02-02				
1672	5664	2022-01-18	2022-02-11	1	2	3
1673	2367	2022-02-11				
1678	5483	2022-01-31				
1685	3982	2022-02-23				
1686	6018	2022-01-18				
1687	1974	2022-01-17				
1688	414	2022-01-18				
1690	7297	2022-02-25				
1691	6084	2022-01-21				
1692	6385	2022-01-18	2022-01-28	1	1	3
1693	6466	2022-01-19				
1694	3797	2022-01-17	2022-01-28	0		
1695	1897	2022-02-02				
1696	6594	2022-02-04	2022-02-22	1	5	2
1699	2688	2022-01-18	2022-02-08	1	5	5
1701	5788	2022-01-24	2022-02-01	0		
1703	1105	2022-01-25	2022-02-07	1	3	1
1708	3509	2022-02-24	2022-02-25	1	2	
1709	503	2022-02-18				
1712	3501	2022-02-01	2022-02-18	0		
1712	5935	2022-01-17	2022-01-28	0		
1714	2499	2022-02-16				
1716	4535	2022-01-26	2022-02-07	1	4	2
1720	2181	2022-01-24				
1722	2779	2022-02-17				
1723	4764	2022-02-08				
1727	2570	2022-01-18	2022-01-25	1	5	5
1729	4757	2022-02-08	2022-02-09	1	5	2
1730	2258	2022-01-28	2022-02-14	1	5	2
1733	3460	2022-01-17	2022-02-01	1	2	2
1734	1414	2022-01-17				
1735	2776	2022-01-26	2022-02-07	1	2	5
1736	6995	2022-01-21	2022-01-27	0		
1737	3389	2022-01-18	2022-01-25	0		
1737	4876	2022-02-04				
1741	1444	2022-01-24	2022-01-25	1	1	4
1744	4397	2022-01-17	2022-02-17	1	3	5
1745	707	2022-01-18	2022-02-07	1	4	1
1746	6173	2022-01-18	2022-01-27	1	4	1
1747	3839	2022-01-17	2022-01-24	1	4	5
1748	2513	2022-01-20	2022-02-11	0		
1750	845	2022-01-24				
1751	653	2022-01-28	2022-02-17	1	4	1
1752	3356	2022-01-19	2022-01-27	0		
1752	7113	2022-02-10				
1755	2046	2022-02-07				
1757	684	2022-01-24				
1759	2116	2022-01-28	2022-02-01	1	2	5
1762	2926	2022-01-19	2022-02-02	0		
1766	4511	2022-01-18	2022-02-28	1		
1767	4760	2022-02-25				
1769	779	2022-02-23				
1769	2562	2022-01-17	2022-02-11	0		
1771	4188	2022-01-18	2022-01-20	1	1	3
1773	2664	2022-02-23				
1773	4669	2022-01-20	2022-02-08	0		
1774	6388	2022-01-18	2022-02-11	1	3	3
1777	4725	2022-02-15				
1779	6991	2022-01-25	2022-02-08	1	5	3
1780	241	2022-02-17				
1782	1119	2022-01-21				
1783	7000	2022-02-04	2022-02-24	1	3	5
1787	5225	2022-01-17	2022-01-19	1	2	4
1790	6963	2022-01-28				
1791	6463	2022-01-25	2022-02-14	0		
1797	5058	2022-02-02				
1805	772	2022-02-15				
1805	5025	2022-02-02	2022-02-08	0		
1806	5943	2022-01-19	2022-02-23	0		
1808	3468	2022-01-26				
1813	4198	2022-02-15				
1814	120	2022-01-17	2022-01-25	1	1	2
1816	5454	2022-01-18	2022-02-04	1	4	3
1819	6475	2022-02-09				
1823	2651	2022-01-24	2022-02-10	1	1	3
1824	5552	2022-01-17	2022-02-28	1		
1828	4104	2022-02-22				
1836	1706	2022-01-25				
1837	2459	2022-01-31	2022-02-15	0		
1838	2711	2022-02-01	2022-02-11	0		
1839	913	2022-01-21	2022-01-24	1	5	3
1842	3024	2022-01-31	2022-02-24	1		
1843	5230	2022-02-02	2022-02-21	1	1	1
1845	2264	2022-01-20	2022-02-14	1	4	1
1846	1057	2022-02-15				
1847	4354	2022-01-26				
1851	3644	2022-01-18	2022-01-31	0		
1855	5243	2022-02-21				
1856	3322	2022-02-07				
1857	1989	2022-01-28	2022-02-18	0		
1864	2876	2022-01-18				
1866	5295	2022-01-17				
1867	2262	2022-02-17				
1871	1618	2022-01-18	2022-01-26	0		
1874	4840	2022-01-17	2022-02-07	1	4	4
1879	3768	2022-01-19	2022-01-20	1	4	5
1881	4867	2022-02-14	2022-02-16	0		
1885	4549	2022-02-16	2022-02-28	1		
1886	7149	2022-02-02	2022-02-24	0		
1887	1561	2022-01-21	2022-02-28	1		
1890	4646	2022-01-17	2022-02-21	1		3
1892	2069	2022-02-25				
1895	3871	2022-02-04				
1897	1883	2022-01-21	2022-01-31	0		
1898	506	2022-01-20	2022-02-28	0		
1899	1382	2022-01-18	2022-01-28	1	2	1
1900	864	2022-02-16				
1902	6398	2022-01-17				
1903	3749	2022-02-02	2022-02-15	0		
1904	5583	2022-01-26	2022-02-23	1	3	
1908	3476	2022-02-01	2022-02-04	0		
1908	5882	2022-02-08	2022-02-22	1	4	3
1913	7325	2022-01-20	2022-01-21	1	3	5
1914	6297	2022-01-21	2022-01-27	1	3	4
1917	2182	2022-01-21				
1924	1760	2022-01-25				
1926	6198	2022-01-31	2022-02-04	0		
1928	2986	2022-02-02				
1933	2810	2022-01-17	2022-01-28	1	3	4
1934	7411	2022-02-11				
1935	2756	2022-01-27				
1936	4294	2022-01-19	2022-02-21	1		1
1940	2849	2022-01-20	2022-02-07	1	5	5
1941	5148	2022-01-17	2022-01-24	0		
1942	6864	2022-02-10				
1943	1077	2022-01-18	2022-01-31	1	4	4
1944	2266	2022-01-19	2022-01-27	0		
1944	5091	2022-02-02	2022-02-10	0		
1945	543	2022-02-14				
1948	1403	2022-02-01	2022-02-08	0		
1952	3963	2022-01-19	2022-01-31	0		
1959	4330	2022-01-25				
1960	6376	2022-02-01	2022-02-08	1	5	1
1961	983	2022-01-17	2022-02-22	0		
1965	3838	2022-02-14				
1968	4280	2022-02-11				
1971	217	2022-01-26	2022-01-31	0		
1976	3905	2022-02-14	2022-02-17	0		
1977	4836	2022-01-17				
1980	6370	2022-02-01	2022-02-17	1	3	1
1982	1721	2022-01-17	2022-02-18	1	5	4
1986	198	2022-02-21				
1988	3296	2022-01-18	2022-02-24	1		5
1989	475	2022-02-24				
1990	2791	2022-01-31				
1994	791	2022-01-17	2022-02-10	0		
1995	137	2022-01-20				
1997	3349	2022-01-24	2022-01-27	0		
1998	5673	2022-01-21	2022-02-11	1	4	1
2004	6721	2022-01-20	2022-02-16	1	2	2
2007	2653	2022-02-04	2022-02-16	1	2	1
2009	3275	2022-01-26	2022-02-15	1		5
2011	4226	2022-01-17	2022-01-26	1	2	2
2013	1869	2022-02-10				
2014	2343	2022-01-17	2022-02-08	1	5	4
2018	830	2022-01-18	2022-02-28	1		
2019	492	2022-02-08	2022-02-21	0		
2020	5858	2022-01-17	2022-02-28	1		
2021	438	2022-01-25				
2022	7059	2022-02-04				
2027	2662	2022-01-21	2022-01-26	0		
2028	6559	2022-01-18	2022-01-27	1	3	4
2031	4655	2022-02-14				
2033	2339	2022-01-17	2022-01-25	0		
2034	303	2022-01-19	2022-01-21	1	5	4
2039	4009	2022-01-31	2022-02-15	0		
2040	6052	2022-02-16				
2041	408	2022-02-14	2022-02-25	1	1	2
2044	7377	2022-02-02	2022-02-15	1	3	5
2049	6783	2022-01-17	2022-01-25	1	2	3
2050	6540	2022-02-04				
2051	4257	2022-01-18				
2053	2414	2022-02-09				
2053	2601	2022-01-21	2022-01-28	0		
2057	1718	2022-01-27	2022-02-03	1	1	5
2063	5988	2022-02-01				
2065	163	2022-01-18				
2070	4977	2022-01-17	2022-02-01	1	5	2
2071	2594	2022-01-31	2022-02-25	0		
2083	936	2022-02-10	2022-02-17	1	4	4
2084	94	2022-01-21	2022-02-09	1	4	2
2086	563	2022-02-10				
2086	2420	2022-01-18	2022-01-31	0		
2087	2591	2022-02-09	2022-02-28	0		
2087	3240	2022-01-21	2022-02-08	0		
2091	832	2022-01-17				
2092	5117	2022-02-28				
2094	1622	2022-01-17				
2097	3960	2022-02-09				
2100	1450	2022-01-18	2022-01-20	0		
2100	6484	2022-02-21				
2104	4297	2022-01-31	2022-02-23	1		2
2106	5549	2022-01-21	2022-02-11	1	4	1
2107	6126	2022-01-21	2022-01-25	1	2	4
2109	2598	2022-01-24	2022-02-15	0		
2111	4473	2022-02-14				
2112	1742	2022-01-20				
2118	522	2022-01-20	2022-01-25	1	2	5
2119	1784	2022-01-25	2022-02-03	0		
2123	1700	2022-02-04				
2125	3354	2022-01-26				
2126	2930	2022-01-25	2022-02-09	1	4	3
2130	5904	2022-01-19	2022-02-08	1	4	3
2131	6147	2022-01-20	2022-02-23	1		
2132	477	2022-01-17				
2133	1193	2022-01-31				
2133	2615	2022-01-24	2022-01-31	0		
2135	5455	2022-01-21	2022-02-21	1	3	
2138	5470	2022-02-10	2022-02-28	0		
2139	1553	2022-01-19	2022-01-26	0		
2141	5553	2022-01-25	2022-02-24	1	1	
2143	31	2022-01-18				
2149	5481	2022-01-21				
2150	6703	2022-01-21	2022-01-26	0		
2151	7031	2022-01-26	2022-02-14	1	4	1
2152	3498	2022-01-25	2022-02-09	1	5	5
2153	7226	2022-01-19	2022-02-07	1	2	3
2154	5796	2022-01-18	2022-02-16	1		5
2156	734	2022-01-18	2022-01-19	1	1	1
2158	695	2022-01-20	2022-02-04	0		
2160	1208	2022-01-31				
2162	3514	2022-01-26				
2164	5351	2022-01-17	2022-01-21	1	3	5
2165	6478	2022-01-31	2022-02-03	1	3	5
2168	3252	2022-01-24	2022-02-21	1	4	3
2174	3444	2022-02-17	2022-02-24	0		
2179	5555	2022-02-09				
2186	2921	2022-01-21				
2188	3778	2022-01-19	2022-01-27	1	1	1
2189	4283	2022-01-19	2022-01-25	1	2	3
2190	4119	2022-01-20	2022-01-26	1	4	5
2191	1549	2022-01-17	2022-01-18	1	3	2
2192	3630	2022-02-01	2022-02-09	0		
2192	7133	2022-02-14				
2193	6459	2022-02-02	2022-02-28	1		
2195	3187	2022-01-26				
2197	7186	2022-01-17				
2199	559	2022-01-25	2022-02-07	1	4	1
2200	2579	2022-02-07				
2202	2115	2022-01-20				
2203	334	2022-02-24				
2206	99	2022-01-26	2022-02-09	1	4	4
2207	7009	2022-02-09				
2212	2550	2022-01-18	2022-02-03	1	2	5
2214	4274	2022-01-17				
2216	1393	2022-02-15				
2217	5790	2022-01-17	2022-02-03	1	1	3
2225	7093	2022-02-09	2022-02-25	1		
2226	2622	2022-01-31	2022-02-02	0		
2226	4946	2022-02-03	2022-02-04	1	3	4
2226	6674	2022-01-18	2022-01-26	0		
2227	6168	2022-02-18				
2228	1628	2022-01-25	2022-01-28	1	3	2
2230	7207	2022-01-18	2022-01-25	1	4	1
2231	4795	2022-01-21				
2233	2355	2022-01-17	2022-01-19	0		
2236	3807	2022-02-02	2022-02-04	0		
2238	2180	2022-01-20	2022-01-24	1	1	1
2239	6035	2022-02-15				
2240	4301	2022-01-19	2022-02-21	0		
2244	4175	2022-01-31				
2248	685	2022-02-02	2022-02-04	1	3	5
2252	221	2022-02-09				
2256	5441	2022-01-26	2022-01-28	0		
2257	478	2022-01-17	2022-01-27	1	1	1
2259	1786	2022-01-21	2022-02-02	1	1	4
2261	3694	2022-01-18				
2263	3186	2022-01-20				
2265	6997	2022-01-18				
2266	6070	2022-02-10	2022-02-28	1		
2267	5122	2022-01-27	2022-02-15	1	1	5
2270	3022	2022-02-15				
2272	4919	2022-01-25	2022-01-26	1	4	5
2274	2679	2022-02-15				
2276	5418	2022-02-11	2022-02-14	0		
2279	3658	2022-01-18				
2280	4275	2022-01-17				
2288	2742	2022-02-25				
2293	39	2022-01-18				
2294	7245	2022-01-20	2022-02-28	0		
2295	2221	2022-01-18	2022-01-28	1	5	1
2297	552	2022-02-09				
2298	5153	2022-01-28	2022-02-10	1	1	5
2301	2871	2022-02-10				
2302	871	2022-02-08	2022-02-17	1	4	1
2306	5774	2022-02-02	2022-02-09	0		
2308	406	2022-01-24	2022-02-10	0		
2310	2691	2022-01-25				
2312	5987	2022-02-25				
2314	161	2022-01-27				
2315	1245	2022-02-07				
2315	4230	2022-01-20	2022-01-24	0		
2317	5717	2022-01-17				
2318	5193	2022-01-19				
2319	6483	2022-02-01				
2324	6866	2022-01-21				
2325	4234	2022-02-22				
2328	1456	2022-01-17				
2329	1555	2022-02-22				
2329	2440	2022-01-18	2022-01-20	0		
2330	6454	2022-01-20	2022-02-18	1	2	5
2332	5255	2022-01-18	2022-02-02	1	2	5
2333	5645	2022-01-20				
2334	5914	2022-01-31	2022-02-22	0		
2338	1342	2022-01-25	2022-02-16	1	1	1
2339	6149	2022-02-02	2022-02-03	0		
2340	5327	2022-01-18	2022-02-28	1		
2341	1942	2022-01-28	2022-02-08	0		
2341	3376	2022-02-21				
2344	4677	2022-01-17	2022-01-19	1	5	1
2350	3447	2022-01-19	2022-01-25	1	3	2
2352	1749	2022-02-25				
2352	2528	2022-01-19	2022-02-02	0		
2354	3221	2022-01-21				
2356	278	2022-01-17				
2357	2136	2022-02-08				
2357	6143	2022-02-04	2022-02-07	0		
2358	2047	2022-01-20	2022-01-25	1	2	3
2360	3090	2022-01-18	2022-02-22	1		2
2361	2496	2022-02-14				
2362	268	2022-01-21	2022-02-04	0		
2364	2073	2022-01-20	2022-02-28	1		
2366	7253	2022-02-28				
2367	6289	2022-01-25	2022-01-28	0		
2369	4370	2022-01-18	2022-02-07	0		
2371	1258	2022-01-20	2022-01-31	1	3	2
2372	2869	2022-02-02	2022-02-14	1	3	3
2377	1076	2022-02-07				
2379	29	2022-02-24				
2380	558	2022-02-08	2022-02-09	0		
2381	459	2022-02-11	2022-02-17	1	3	2
2382	4272	2022-01-19				
2383	2541	2022-02-25	2022-02-28	1		
2385	7040	2022-02-25				
2387	4461	2022-02-24				
2388	2056	2022-01-28	2022-02-01	1	2	2
2389	4628	2022-01-19	2022-01-27	1	3	3
2393	5466	2022-01-18	2022-02-11	1	1	3
2395	2996	2022-01-31				
2400	3989	2022-02-28				
2402	1039	2022-01-19	2022-01-26	1	2	2
2407	2705	2022-02-02				
2408	2159	2022-02-15	2022-02-23	1	5	5
2418	487	2022-02-18				
2421	562	2022-01-18	2022-02-02	1	2	2
2423	1647	2022-01-17	2022-02-07	1	4	3
2426	5473	2022-01-18	2022-01-24	1	3	2
2427	903	2022-01-25	2022-02-01	1	5	4
2428	1309	2022-01-24	2022-01-27	1	5	4
2429	5670	2022-02-01				
2430	5333	2022-02-17	2022-02-25	1		
2432	4483	2022-01-28	2022-02-14	1	5	4
2436	6386	2022-02-01	2022-02-09	1	1	5
2437	2224	2022-01-20	2022-01-26	1	3	3
2440	2303	2022-02-07	2022-02-09	0		
2446	883	2022-02-28				
2448	5771	2022-01-31	2022-02-07	0		
2453	3345	2022-01-24	2022-02-03	1	1	5
2456	3423	2022-01-17				
2459	3966	2022-02-18				
2460	6328	2022-01-31				
2463	2531	2022-02-16				
2466	5079	2022-01-25				
2470	2973	2022-01-21	2022-02-09	0		
2471	3645	2022-01-25	2022-02-04	1	4	1
2473	6033	2022-02-10				
2476	552	2022-01-17	2022-02-07	0		
2476	5611	2022-02-14				
2477	4780	2022-01-18	2022-02-22	0		
2479	3126	2022-01-25	2022-02-16	0		
2482	2697	2022-01-20	2022-02-22	1	2	1
2483	5808	2022-02-25				
2484	6861	2022-01-21	2022-02-17	0		
2486	2559	2022-01-27	2022-02-04	1	5	3
2487	5548	2022-01-19	2022-02-14	1	5	2
2488	173	2022-02-08	2022-02-21	1	1	5
2490	7044	2022-01-17	2022-02-01	1	1	2
2491	3008	2022-01-18				
2493	5798	2022-01-31	2022-02-22	0		
2495	2255	2022-02-09				
2497	82	2022-02-22				
2497	6584	2022-01-21	2022-02-09	0		
2499	5526	2022-01-18	2022-01-28	0		
2500	675	2022-01-19	2022-02-18	1	4	5
2501	6304	2022-01-31				
2504	6932	2022-01-17	2022-02-17	1	5	3
2506	2649	2022-01-21	2022-01-24	1	5	3
2507	4877	2022-02-25				
2510	1040	2022-01-18	2022-01-27	0		
2511	1313	2022-01-24	2022-02-24	0		
2514	6684	2022-02-02	2022-02-09	1	4	5
2515	2089	2022-01-24				
2518	6618	2022-01-17				
2519	428	2022-01-25	2022-02-11	1	3	4
2520	3231	2022-01-18	2022-02-11	1	4	3
2521	4635	2022-01-20	2022-02-11	1	2	1
2522	2929	2022-02-16				
2523	4229	2022-01-31				
2526	978	2022-02-10				
2533	4480	2022-02-07	2022-02-21	1	3	3
2534	5975	2022-01-19				
2535	2345	2022-01-21	2022-01-26	1	4	3
2537	3756	2022-01-18				
2540	2082	2022-01-26	2022-02-21	0		
2543	2380	2022-01-18	2022-01-28	0		
2544	4817	2022-01-24	2022-01-31	1	4	4
2551	6497	2022-02-23				
2552	1296	2022-01-19	2022-02-15	0		
2555	6502	2022-01-25	2022-02-15	0		
2556	3283	2022-02-02				
2565	2220	2022-01-18				
2567	3334	2022-01-24	2022-02-14	1	4	5
2568	4475	2022-01-17	2022-01-27	1	4	1
2574	5601	2022-01-26				
2575	4912	2022-01-28	2022-02-17	1	1	4
2576	2376	2022-01-25				
2577	1027	2022-01-31	2022-02-25	1	4	
2583	4694	2022-01-24	2022-02-25	0		
2584	3566	2022-01-31	2022-02-09	0		
2586	1338	2022-01-17	2022-02-18	1	2	2
2595	2046	2022-01-17	2022-01-24	0		
2599	2761	2022-01-28	2022-02-22	1	1	
2601	6043	2022-02-07	2022-02-11	1	2	4
2602	549	2022-01-24	2022-02-21	0		
2603	4714	2022-02-21				
2606	3316	2022-01-31	2022-02-09	1	1	2
2607	7156	2022-02-11				
2610	2029	2022-01-17	2022-02-15	1	2	4
2611	3397	2022-01-21	2022-02-10	1	1	4
2615	5130	2022-02-23				
2616	280	2022-02-01				
2617	4374	2022-01-20	2022-02-28	1		
2621	142	2022-01-21	2022-01-27	0		
2621	4980	2022-02-23				
2625	2675	2022-02-16	2022-02-18	0		
2625	6730	2022-01-17	2022-01-27	0		
2626	3607	2022-01-21	2022-02-03	0		
2626	3876	2022-02-24				
2627	6631	2022-01-18	2022-01-25	1	4	1
2628	3559	2022-01-19	2022-01-24	1	4	4
2629	4352	2022-01-20	2022-02-01	0		
2630	6569	2022-01-27				
2632	767	2022-02-02				
2636	4556	2022-01-21	2022-02-16	0		
2638	4358	2022-02-03				
2641	5768	2022-01-17				
2642	2696	2022-01-25				
2644	4691	2022-01-28	2022-02-21	1	2	3
2645	1822	2022-02-15				
2646	7105	2022-01-19	2022-01-27	1	4	2
2647	2608	2022-02-10				
2652	4303	2022-02-01	2022-02-02	1	3	2
2658	2867	2022-01-17				
2660	703	2022-02-07	2022-02-17	1	3	3
2661	3999	2022-01-28				
2665	6550	2022-02-24				
2667	943	2022-01-24	2022-02-16	1	5	2
2668	3206	2022-01-18	2022-01-21	1	4	5
2669	4650	2022-01-17	2022-02-03	1	3	4
2672	4716	2022-02-11				
2673	3699	2022-01-27				
2678	4559	2022-01-21	2022-01-27	0		
2680	3673	2022-01-19				
2683	6263	2022-02-01				
2684	1362	2022-01-27				
2687	6151	2022-02-04	2022-02-07	0		
2689	6377	2022-02-24				
2692	4314	2022-01-28				
2693	953	2022-02-15	2022-02-22	1	1	4
2694	266	2022-02-08	2022-02-28	0		
2695	3922	2022-01-19				
2698	1033	2022-01-25	2022-02-04	1	3	1
2706	2242	2022-01-17	2022-01-20	1	4	4
2708	6544	2022-02-11				
2712	505	2022-01-18				
2713	1306	2022-01-19				
2720	5039	2022-01-21	2022-02-15	1	5	2
2725	4971	2022-01-18	2022-02-01	1	3	2
2730	271	2022-01-31	2022-02-14	1		3
2731	5536	2022-01-17	2022-02-18	1	3	3
2734	741	2022-01-27	2022-02-15	1	2	1
2735	2914	2022-01-20	2022-02-03	1	1	2
2739	1880	2022-02-23				
2744	3116	2022-01-18	2022-02-08	1	4	5
2746	62	2022-01-17	2022-02-08	0		
2747	6411	2022-01-20	2022-01-25	0		
2750	175	2022-01-17				
2751	3465	2022-02-03	2022-02-15	1	4	1
2755	1674	2022-01-20				
2757	291	2022-02-23				
2759	2745	2022-01-18				
2760	6208	2022-02-28				
2763	747	2022-01-18	2022-02-09	0		
2769	1238	2022-02-10	2022-02-16	0		
2770	6744	2022-02-16				
2771	6489	2022-01-17				
2772	3446	2022-02-03				
2778	333	2022-01-20				
2780	3064	2022-01-27	2022-02-01	0		
2781	3346	2022-01-18	2022-02-02	1	2	4
2782	2818	2022-01-25				
2784	2068	2022-01-19	2022-01-31	1	3	1
2785	1005	2022-02-18				
2786	289	2022-01-20				
2787	454	2022-01-18				
2789	816	2022-02-11	2022-02-24	1		2
2790	2359	2022-01-20	2022-02-02	1	4	3
2792	2398	2022-02-03	2022-02-18	1	2	3
2793	4155	2022-01-27	2022-02-21	1	5	3
2796	5167	2022-01-24	2022-02-03	0		
2797	1554	2022-02-01	2022-02-09	0		
2798	5732	2022-01-17	2022-02-09	1	2	1
2799	4270	2022-02-02				
2802	1032	2022-01-24	2022-01-28	1	3	5
2805	5924	2022-01-26				
2806	607	2022-01-17				
2808	4984	2022-02-07				
2809	1524	2022-01-21	2022-02-04	1	5	4
2817	6698	2022-01-28				
2821	594	2022-01-31				
2822	4688	2022-02-08	2022-02-23	1	2	5
2827	4725	2022-01-17	2022-02-01	0		
2834	1380	2022-02-02				
2835	7280	2022-01-24	2022-01-28	1	3	3
2837	4941	2022-01-31	2022-02-10	1	2	5
2838	2420	2022-02-01	2022-02-24	0		
2840	7130	2022-02-16	2022-02-21	0		
2843	5211	2022-01-19	2022-02-22	0		
2846	5736	2022-01-17	2022-02-09	0		
2848	4295	2022-01-21				
2850	1817	2022-02-15				
2852	5589	2022-01-17				
2854	2872	2022-02-17				
2855	4722	2022-02-09				
2860	3859	2022-01-18				
2863	3417	2022-02-07				
2865	5006	2022-02-09	2022-02-14	0		
2866	3668	2022-01-26	2022-02-17	0		
2874	5213	2022-01-17				
2883	3959	2022-01-25	2022-01-27	1	3	2
2884	3282	2022-02-09	2022-02-28	0		
2885	2445	2022-01-17				
2887	4061	2022-02-15	2022-02-28	0		
2890	1477	2022-01-18	2022-01-31	1	5	3
2891	2529	2022-01-17				
2892	5602	2022-01-20				
2893	6044	2022-01-24	2022-01-27	1	4	4
2898	3223	2022-01-19	2022-01-24	1	2	5
2899	3025	2022-01-27				
2903	1753	2022-01-18	2022-01-20	1	2	2
2906	1951	2022-02-08	2022-02-09	1	1	2
2908	5177	2022-01-27				
2911	2512	2022-01-20	2022-01-24	1	2	4
2913	2687	2022-02-11				
2913	4337	2022-01-21	2022-01-31	0		
2915	1312	2022-01-17	2022-02-02	1	2	1
2916	157	2022-01-26				
2920	2639	2022-01-17	2022-01-19	1	4	5
2922	2425	2022-01-20	2022-01-25	1	5	1
2923	5637	2022-02-08				
2925	1293	2022-01-18	2022-02-07	0		
2925	3535	2022-02-16				
2926	3893	2022-02-17				
2927	4787	2022-01-26	2022-02-14	0		
2931	5927	2022-01-27				
2932	791	2022-02-17				
2932	3861	2022-01-19	2022-02-07	0		
2937	6854	2022-02-01	2022-02-25	1		
2942	1074	2022-01-27	2022-02-17	1	1	1
2943	5384	2022-01-17	2022-02-07	1	5	4
2946	3835	2022-01-25	2022-02-10	1	3	1
2950	4342	2022-02-01	2022-02-10	1	2	3
2952	1630	2022-01-21	2022-02-01	1	2	3
2954	3499	2022-02-21				
2960	2918	2022-01-26				
2961	7277	2022-01-18	2022-02-08	0		
2964	7246	2022-01-19	2022-01-27	1	5	2
2967	3118	2022-01-18	2022-02-15	1	5	4
2969	5382	2022-02-07				
2969	6140	2022-01-17	2022-01-24	0		
2970	4966	2022-02-25				
2970	6178	2022-01-27	2022-02-03	0		
2970	6530	2022-02-04	2022-02-16	0		
2971	6179	2022-01-21	2022-01-27	1	3	1
2974	5714	2022-01-19				
2975	4703	2022-01-17	2022-01-28	0		
2975	5322	2022-02-16				
2976	5463	2022-01-26	2022-02-04	1	4	5
2977	519	2022-01-21	2022-01-31	1	3	5
2979	2508	2022-01-27	2022-02-01	0		
